Age,Salary,Experience,Hours_Online,Previous_Purchases,Rating,Purchased
41,106988,17,1.2,10,9.9,1
32,65648,7,6.2,25,1.3,1
47,123537,6,8.6,24,5.0,1
59,145991,0,8.9,12,5.5,1
34,29516,16,8.6,3,2.1,0
22,132863,4,2.5,21,2.5,0
46,135005,11,4.3,6,4.2,0
21,22396,3,4.9,28,7.9,1
27,104082,9,9.8,10,5.6,0
34,39129,1,4.1,21,6.7,1
27,148322,9,3.3,23,9.9,1
34,21591,13,11.5,3,7.9,0
37,31303,3,1.1,27,4.9,0
41,50561,0,12.0,14,5.0,0
22,91719,4,8.4,0,6.6,1
51,138618,17,10.1,22,7.0,1
23,112108,5,4.2,2,5.5,0
19,148748,1,1.2,13,6.8,0
30,119616,8,9.1,5,1.2,1
60,144165,20,10.2,17,4.9,1
60,106231,1,9.1,24,3.5,1
28,27314,10,2.6,0,2.2,0
40,137071,22,9.3,5,1.9,1
33,39623,8,9.5,5,6.4,1
48,87675,0,8.2,20,5.7,1
28,132992,10,9.4,15,3.3,1
33,116826,2,10.3,28,5.2,1
25,85082,7,7.7,4,5.4,0
21,149839,3,2.0,16,2.8,0
57,103624,22,6.4,9,6.9,0
21,125228,3,1.9,27,8.0,0
42,53130,3,5.5,20,8.1,1
20,71756,2,5.5,17,6.4,0
49,117624,22,1.7,6,5.6,1
20,46292,2,4.8,2,1.5,0
44,131785,2,2.2,12,3.6,0
46,147331,21,9.9,14,1.8,0
49,106206,10,11.4,19,9.7,1
36,89274,14,1.8,18,2.2,0
38,22469,20,11.5,2,2.4,0
22,73947,4,6.7,3,9.0,0
35,42534,4,4.3,4,9.5,0
45,83620,19,1.8,0,7.9,0
59,68874,9,6.5,3,1.0,0
39,69708,11,9.7,11,1.0,0
38,94553,14,8.8,27,4.4,1
23,88344,5,1.6,26,2.3,1
18,69138,0,1.8,23,1.2,1
22,74302,4,5.4,9,5.2,0
58,67638,17,4.2,22,9.5,1
29,98249,11,3.6,24,3.9,0
43,125865,2,4.1,20,7.0,0
51,22719,29,9.8,28,6.9,1
31,42890,13,11.2,30,3.3,0
43,97236,9,5.5,25,6.9,1
44,56509,26,11.0,19,2.9,1
26,62534,8,4.5,23,2.1,1
43,122302,5,6.2,24,7.3,1
39,112241,2,3.5,12,2.0,0
47,38787,15,8.0,22,10.0,1
60,146209,6,11.8,13,2.7,1
34,68845,16,7.6,22,6.3,1
43,77932,13,4.9,4,4.7,0
53,112124,8,8.1,3,2.1,0
18,111659,0,2.4,13,1.3,0
25,53062,7,10.8,9,6.6,0
52,95713,2,6.5,16,8.3,1
32,107263,1,5.9,9,8.6,0
39,115756,21,7.4,25,5.3,1
31,80461,1,7.9,6,8.0,1
43,95418,2,1.8,15,7.1,1
45,86672,17,8.5,0,7.5,0
40,148232,13,3.7,16,5.4,1
31,54832,13,8.9,20,6.7,1
41,147335,17,10.0,28,8.2,1
19,51966,1,9.8,8,4.6,0
43,92545,24,7.1,5,8.3,1
31,32987,1,6.7,18,6.3,0
24,57311,6,2.6,12,2.5,0
20,51575,2,9.5,2,1.2,0
40,83852,21,4.0,6,4.3,1
60,147650,0,6.5,21,5.9,1
35,21007,3,4.1,8,8.6,0
55,90981,30,2.5,21,2.1,1
52,96242,13,7.9,4,8.2,1
32,67517,0,1.6,9,8.8,0
42,130022,13,9.2,22,2.4,1
54,49257,15,4.5,16,8.7,1
45,107272,21,1.0,11,9.9,1
27,62207,9,6.6,22,7.5,1
56,33281,28,1.5,15,8.1,0
34,81246,16,4.0,2,9.9,1
56,21435,2,8.8,29,6.4,1
39,118875,2,1.7,24,3.8,1
43,120686,8,10.2,30,8.5,1
42,111357,5,1.0,21,6.5,1
34,46660,16,3.7,8,6.2,0
30,25084,12,9.1,28,3.3,0
37,102197,19,4.5,14,7.8,0
42,33507,1,2.1,4,1.7,0
21,92595,3,5.0,22,9.3,0
27,103807,9,4.0,12,3.9,0
20,65539,1,10.3,13,2.1,0
58,135953,3,4.4,19,5.0,0
35,27491,17,9.7,14,1.4,1
53,147706,14,10.8,15,7.2,1
39,132831,3,5.8,22,9.1,1
51,70192,12,11.0,12,8.5,0
25,100395,7,5.2,16,2.1,1
57,143797,11,11.6,22,2.1,1
36,83888,18,2.0,7,8.3,0
59,93609,12,8.6,20,9.3,1
58,29077,30,6.4,1,5.1,0
54,137440,13,5.3,4,5.5,1
23,142901,5,8.0,5,3.9,1
43,40953,17,8.7,11,9.0,0
51,96919,28,1.0,17,6.8,1
23,134682,5,2.8,29,3.6,1
54,141041,30,8.8,21,3.7,1
50,87889,5,8.3,21,9.0,0
39,43821,21,11.6,0,1.1,1
38,57567,10,9.4,29,3.9,1
23,135374,5,11.5,16,6.0,1
23,44860,1,8.7,29,2.3,1
21,41195,3,4.3,10,1.8,0
47,97475,22,2.2,9,8.3,1
28,110874,10,9.6,18,9.0,0
47,107266,29,8.1,13,8.4,1
48,41427,18,1.5,25,9.1,1
41,120732,4,5.0,9,6.0,1
26,47083,8,11.5,14,8.3,1
20,107046,1,6.5,27,4.5,1
48,77372,9,5.8,18,7.0,0
57,143786,24,6.0,3,9.9,1
54,64064,1,3.3,1,3.0,0
53,27813,29,5.1,8,4.5,0
41,51598,10,5.1,9,5.3,0
48,132718,17,1.6,27,2.2,1
23,146879,5,9.4,10,1.7,0
19,113106,1,5.6,13,8.5,0
37,47082,19,10.0,6,9.8,1
45,49241,14,10.4,22,4.6,1
28,116214,8,3.3,14,1.8,0
21,64569,3,8.2,21,1.6,1
32,31745,14,6.2,30,9.0,1
23,46029,5,10.7,18,5.2,1
47,33025,2,3.4,21,3.9,0
55,121660,20,8.5,14,5.3,1
19,143395,1,7.7,29,3.9,1
32,34288,14,4.2,27,5.4,0
28,109186,10,2.5,23,8.7,0
25,26540,7,8.2,7,6.3,0
43,117768,18,9.1,10,7.3,1
22,101958,4,4.5,28,4.3,1
23,88878,5,8.1,8,7.6,0
43,61846,15,5.3,14,7.0,0
21,121148,3,8.8,0,2.1,1
36,95932,0,3.2,29,6.2,1
37,37482,3,10.8,0,3.3,0
50,43411,3,4.2,18,8.2,0
37,70975,6,5.0,2,4.8,0
29,80545,7,1.6,9,10.0,0
18,132302,0,2.2,7,1.8,0
43,98797,4,6.7,14,8.0,0
31,72307,6,3.9,9,7.1,0
55,23093,27,10.2,0,7.9,0
54,97258,19,1.2,28,3.8,1
28,42042,10,5.2,17,5.4,1
53,72930,19,4.7,1,8.2,1
30,137584,3,1.2,18,3.1,0
60,64413,27,2.4,12,3.0,0
20,133387,2,5.6,21,6.0,1
50,113623,6,6.4,0,5.7,1
23,117883,5,5.4,1,3.5,0
27,53756,9,6.8,28,3.7,0
22,73268,4,7.5,15,3.5,0
40,59214,19,1.1,14,7.9,1
27,101871,9,6.1,12,6.9,0
19,147844,1,11.6,15,8.5,0
30,48602,12,6.7,16,9.8,1
57,73331,2,8.5,20,5.3,0
19,68901,1,4.4,28,1.6,0
37,119986,19,9.5,28,1.4,1
18,83416,0,9.5,6,3.7,0
54,52196,21,6.7,23,9.4,1
26,148386,8,11.7,25,5.7,1
34,25626,6,2.4,16,3.4,0
26,27424,4,1.2,6,4.6,0
28,32857,10,9.5,12,6.4,0
32,130459,14,9.9,4,6.9,1
41,135621,4,2.3,25,2.4,1
55,39982,29,3.9,16,9.8,1
52,96961,22,1.2,2,5.9,0
47,21980,1,4.2,6,2.2,0
48,68290,29,9.5,25,9.0,1
22,46431,4,6.7,16,1.7,0
31,104976,13,4.8,6,9.2,0
28,127288,10,5.1,20,10.0,1
26,102711,5,1.0,0,7.3,0
51,134187,14,4.3,16,7.9,1
29,46385,11,8.1,29,4.0,1
52,58158,9,11.7,16,9.5,1
52,43019,22,10.3,10,5.8,1
18,38639,0,1.3,24,7.6,0
57,105530,23,10.9,26,9.3,1
39,119911,6,9.6,28,9.8,0
46,41563,4,9.6,2,8.5,0
25,59341,0,6.0,14,3.7,0
28,135672,10,5.4,28,9.7,1
58,25776,20,4.3,20,6.7,1
54,56444,25,1.7,10,9.4,0
31,88916,13,3.5,25,7.1,1
47,28711,12,3.7,27,3.8,0
52,94318,20,6.3,15,4.3,0
38,102970,20,9.2,24,6.0,1
54,132301,17,6.2,21,8.1,1
22,105553,4,1.6,27,3.9,1
36,50707,12,11.5,8,6.2,1
31,59110,3,11.4,23,4.1,1
43,149410,16,9.6,23,8.3,1
21,81788,2,11.9,0,5.2,0
42,102879,16,7.0,28,1.7,1
59,58827,27,11.6,24,2.5,1
42,127188,10,1.8,21,1.5,1
35,25655,17,5.0,15,5.5,0
57,64859,20,3.5,8,2.0,1
25,73625,7,3.2,18,2.0,0
56,72098,22,2.5,11,9.5,0
57,35251,20,7.8,18,8.9,1
31,142413,13,9.6,21,5.1,1
49,20526,29,7.4,8,9.9,0
55,88760,3,2.6,6,1.0,0
50,67837,1,9.9,13,6.5,0
40,145133,19,8.0,28,6.5,1
32,149478,14,5.3,18,5.1,0
50,31536,27,8.4,18,4.6,0
42,48541,17,3.9,1,5.1,0
34,99083,7,4.8,8,4.7,0
50,71027,2,11.1,12,7.6,1
19,54531,1,4.2,14,2.2,0
31,28712,13,6.2,2,2.8,0
57,124101,19,10.8,10,2.6,0
57,85455,28,8.8,20,3.4,1
56,94744,5,1.7,13,5.7,0
23,141787,5,2.6,29,2.0,1
23,149749,5,1.1,24,8.8,1
20,25109,2,7.9,7,3.7,0
24,141332,6,5.9,17,2.5,0
25,69268,7,2.5,18,7.1,0
59,120737,8,11.5,15,1.3,1
32,74615,14,6.8,1,6.6,0
46,102503,23,3.7,7,7.3,1
50,143274,8,6.5,21,2.9,1
47,49759,8,8.5,5,1.4,0
56,105708,0,1.8,11,4.3,0
44,80112,1,4.0,14,1.9,0
53,122471,27,9.9,24,2.0,0
46,146740,15,6.1,7,3.3,1
55,143153,28,7.0,3,3.7,1
50,46589,0,5.8,14,5.8,0
54,50015,9,1.5,27,7.1,0
44,49009,17,2.8,19,6.3,1
50,103309,25,5.9,24,2.3,1
21,146446,3,3.3,16,2.5,1
39,82046,7,1.5,12,8.9,1
19,126661,1,10.3,17,6.0,1
27,46143,9,11.8,1,8.8,0
